bin	sample	nucleotides
0003	JB2	520496
0003	YHC17	38450
0002	YHC8	95784
0006	PTS1	9992
0000	YHC6	219104
0001	YHC7	49628
0005	PTS2	5452
0004	JB1	754948
0004	YHC6	36188
0005	YHC7	1014
0001	PTS2	71407
0002	PTS1	180710
0003	unclassified	7732387
0004	YHC7	36058
0005	JB1	184554
0003	PTS1	149605
0006	unclassified	11214914
0006	JB2	30625
0002	unclassified	5893990
0006	YHC17	6099
0003	YHC8	126067
0002	JB2	492954
0002	YHC17	216152
0000	YHC7	292684
0004	PTS2	22367
0001	YHC6	70668
0001	JB1	1851883
0001	PTS1	132441
0004	JB2	133766
0004	YHC17	46283
0002	PTS2	97171
0000	unclassified	8303496
0004	unclassified	11295972
0002	YHC7	46476
0006	PTS2	2419
0003	YHC6	26444
0003	JB1	2463265
0001	YHC8	113976
0005	PTS1	1535
0000	YHC17	490590
0002	YHC6	10750
0002	JB1	2709862
0003	YHC7	42184
0001	JB2	270633
0001	YHC17	72837
0000	YHC8	564515
0004	PTS1	75657
0005	JB2	26944
0005	YHC17	1030
0004	YHC8	3287
0001	unclassified	4906680
0006	JB1	108999
0005	unclassified	8079502
0003	PTS2	125832
